voltage,measured_cca,rated_cca,low_sg,battery_type,label,label_3
12.41,287.0,324,Yes,Regular Flooded,Warning,Warning
12.68,432.0,324,Yes,Regular Flooded,Normal,Good
12.68,138.0,324,Yes,Regular Flooded,Failure,Replace
12.86,514.0,324,Yes,Regular Flooded,Normal,Good
12.6,395.0,324,Yes,Regular Flooded,Normal,Good
12.77,231.0,432,Yes,Regular Flooded,Failure,Replace
12.41,287.0,324,Yes,Regular Flooded,Warning,Warning
12.6,432.0,324,Yes,Regular Flooded,Normal,Good
12.71,241.0,648,Yes,Regular Flooded,Failure,Replace
12.74,709.0,648,Yes,Regular Flooded,Normal,Good
12.525470128967864,166.90014139217178,324,NO,Regular Flooded,Warning,Warning
12.644579540234195,420.7048316994291,324,Yes,Regular Flooded,Good,Good
12.615212603797229,418.238138941946,324,Yes,Regular Flooded,Good,Good
12.85094213495379,515.8922193415667,324,Yes,Regular Flooded,Good,Good
12.767820305601717,263.27533668959774,648,Yes,Regular Flooded,Replace,Replace
12.931146073364472,509.1249075116903,324,Yes,Regular Flooded,Good,Good
12.627543285704538,415.87565750975847,324,Yes,Regular Flooded,Good,Good
12.891123640942167,246.1408682805399,432,Yes,Regular Flooded,Warning,Warning
12.378026545755572,349.8542365622551,324,Yes,Regular Flooded,Good,Good
12.601975743089591,454.23914533961226,324,NO,Regular Flooded,Good,Good
12.500530230048485,441.08250401582006,324,Yes,Regular Flooded,Good,Good
12.789228055874943,228.9631003691341,648,Yes,Regular Flooded,Replace,Replace
12.83348973421388,503.31468452120345,324,Yes,Regular Flooded,Good,Good
12.36479669400581,313.00644484249074,324,Yes,Regular Flooded,Good,Good
12.599304331636423,417.95941004512696,324,Yes,Regular Flooded,Good,Good
12.80255256562274,172.54024368593343,324,Yes,Regular Flooded,Warning,Warning
12.621607971471896,406.90739690468257,324,Yes,Regular Flooded,Good,Good
12.869548977523287,225.06981434403207,432,Yes,Regular Flooded,Warning,Warning
12.823123687062564,209.0179136255996,432,Yes,Regular Flooded,Replace,Replace
12.72321440093499,401.074687652604,324,Yes,Regular Flooded,Good,Good
12.46090794527568,241.61104974216252,324,Yes,Regular Flooded,Warning,Warning
12.542884380315009,215.34601414130785,324,NO,Regular Flooded,Warning,Warning
12.299525739471305,274.778236674927,324,NO,Regular Flooded,Good,Good
12.768246594751634,708.115141976403,648,Yes,Regular Flooded,Good,Good
12.725470306002826,210.5182562490708,432,Yes,Regular Flooded,Replace,Replace
12.78076970331606,227.4944976722801,432,Yes,Regular Flooded,Warning,Warning
12.768597204534895,269.4572117369958,648,Yes,Regular Flooded,Replace,Replace
12.798185772414694,222.42612352422984,432,NO,Regular Flooded,Warning,Warning
12.512627929956096,404.72786359986105,324,NO,Regular Flooded,Good,Good
12.659821969358791,437.1996141127013,324,Yes,Regular Flooded,Good,Good
12.805706208409706,734.1191758656804,648,Yes,Regular Flooded,Good,Good
12.6397483790335,390.72978463489096,324,NO,Regular Flooded,Good,Good
12.37605092291739,319.5044206658196,324,NO,Regular Flooded,Good,Good
12.632960834564484,728.0457463261745,648,NO,Regular Flooded,Good,Good
12.613207533550016,713.4095712427013,648,Yes,Regular Flooded,Good,Good
12.397268043102462,333.39937552033894,324,Yes,Regular Flooded,Good,Good
12.69158335821622,471.6644084704948,324,NO,Regular Flooded,Good,Good
12.699926898199331,412.9766688580932,324,Yes,Regular Flooded,Good,Good
12.605716229632293,435.2916250730244,324,Yes,Regular Flooded,Good,Good
12.551785113398292,438.6986700867629,324,Yes,Regular Flooded,Good,Good
12.673930199979436,342.541699680405,324,Yes,Regular Flooded,Good,Good
12.663582055741845,467.1629862991229,324,Yes,Regular Flooded,Good,Good
13.04325327795687,525.999434387897,324,Yes,Regular Flooded,Good,Good
12.35303084137778,310.3570042545478,324,Yes,Regular Flooded,Good,Good
12.336032594615524,285.2440122143925,324,Yes,Regular Flooded,Good,Good
12.749044629952673,142.86719229203305,324,NO,Regular Flooded,Replace,Replace
12.750958757489704,487.0743610136436,324,Yes,Regular Flooded,Good,Good
12.727766333389974,195.29049331056933,432,Yes,Regular Flooded,Replace,Replace
12.501466364010696,294.7971043535794,324,Yes,Regular Flooded,Good,Good
12.762813348308146,417.39856954755646,324,Yes,Regular Flooded,Good,Good
12.792898361142148,244.4706672792304,648,Yes,Regular Flooded,Replace,Replace
12.844530033355696,276.66604379807376,432,Yes,Regular Flooded,Warning,Warning
12.61245665833198,399.0710169968715,324,Yes,Regular Flooded,Good,Good
12.825297283157658,527.7229833003348,324,Yes,Regular Flooded,Good,Good
12.627673382038006,136.27455950756615,324,Yes,Regular Flooded,Replace,Replace
12.59548599186463,410.4195756173573,324,Yes,Regular Flooded,Good,Good
12.823851543163064,479.47442933524286,324,Yes,Regular Flooded,Good,Good
12.747856926841497,448.4300553388396,324,NO,Regular Flooded,Good,Good
13.00336523857982,512.1139327256861,324,Yes,Regular Flooded,Good,Good
12.571698325829807,414.1151155065638,324,Yes,Regular Flooded,Good,Good
12.745820891759172,670.6105271303251,648,Yes,Regular Flooded,Good,Good
12.53259164894244,414.65358917836375,324,Yes,Regular Flooded,Good,Good
12.734543803880564,414.6771390866115,324,Yes,Regular Flooded,Good,Good
12.710159952372925,441.5483476021743,324,Yes,Regular Flooded,Good,Good
12.623947879411284,137.90535251176598,324,Yes,Regular Flooded,Replace,Replace
12.64943044735528,222.0827497212547,432,Yes,Regular Flooded,Warning,Warning
12.84796057725682,216.17651205470756,432,Yes,Regular Flooded,Warning,Warning
12.893175448399523,711.7128224801708,648,NO,Regular Flooded,Good,Good
12.740309864090236,111.79586316911276,324,Yes,Regular Flooded,Replace,Replace
12.75090686070442,412.14880429057473,324,Yes,Regular Flooded,Good,Good
12.798346240510677,209.9322734212761,432,NO,Regular Flooded,Replace,Replace
12.76648456575461,711.0082880675448,648,NO,Regular Flooded,Good,Good
12.387988193604334,254.8082903250017,324,Yes,Regular Flooded,Warning,Warning
12.724661197644297,252.96452141505404,648,Yes,Regular Flooded,Replace,Replace
12.709506992377886,250.85587522224785,648,NO,Regular Flooded,Replace,Replace
12.764374846133167,258.6022522690413,432,Yes,Regular Flooded,Warning,Warning
12.791067796695604,218.96528127255388,432,Yes,Regular Flooded,Warning,Warning
12.351896409520805,263.6396590235348,324,NO,Regular Flooded,Good,Good
12.776690523644255,246.0113501716093,432,Yes,Regular Flooded,Warning,Warning
12.731539089175223,701.5084694534181,648,Yes,Regular Flooded,Good,Good
12.431585795625796,275.1771704400654,324,Yes,Regular Flooded,Good,Good
12.77027600526642,699.9153082054415,648,Yes,Regular Flooded,Good,Good
12.699211207283122,448.3735578967072,324,Yes,Regular Flooded,Good,Good
12.694284826248312,414.2042581886702,324,Yes,Regular Flooded,Good,Good
12.653091751998824,475.6082888033177,324,Yes,Regular Flooded,Good,Good
12.605158883252257,423.9575501341813,324,Yes,Regular Flooded,Good,Good
12.447638783145454,122.13986731047451,324,Yes,Regular Flooded,Replace,Replace
12.8893989169811,519.2720401537892,324,Yes,Regular Flooded,Good,Good
12.635750385937794,144.3690947696526,324,Yes,Regular Flooded,Replace,Replace
12.688279754483853,135.3805909758836,324,NO,Regular Flooded,Replace,Replace
12.648653542657488,444.0424485424732,324,Yes,Regular Flooded,Good,Good
12.772176596732628,250.06486659533104,648,Yes,Regular Flooded,Replace,Replace
12.622750664914625,401.9295304729679,324,Yes,Regular Flooded,Good,Good
12.748596726509096,445.32222367466426,324,Yes,Regular Flooded,Good,Good
12.347091798177477,311.23540940896464,324,NO,Regular Flooded,Good,Good
12.29126948568101,283.10681776631714,324,Yes,Regular Flooded,Good,Good
12.391894906131173,233.105172821264,324,Yes,Regular Flooded,Warning,Warning
12.668802914165909,481.30559759340815,324,NO,Regular Flooded,Good,Good
12.81721681396694,206.3130439011744,432,Yes,Regular Flooded,Replace,Replace
12.663313345222653,409.7383403600712,324,Yes,Regular Flooded,Good,Good
12.805653594963276,241.9711675903571,432,Yes,Regular Flooded,Warning,Warning
12.743232748552964,453.30476045731086,324,NO,Regular Flooded,Good,Good
12.893174194104551,535.2708753862905,324,Yes,Regular Flooded,Good,Good
12.764686009389772,235.6209723806268,648,Yes,Regular Flooded,Replace,Replace
12.212352826687278,300.80051202015034,324,Yes,Regular Flooded,Good,Good
12.671197922409425,702.3346146058228,648,Yes,Regular Flooded,Good,Good
12.907825892700671,229.3021933657678,432,Yes,Regular Flooded,Warning,Warning
12.638182608012654,436.09522069068703,324,Yes,Regular Flooded,Good,Good
12.536391049036585,382.7515268349009,324,NO,Regular Flooded,Good,Good
12.681796909698964,403.4372860672273,324,Yes,Regular Flooded,Good,Good
12.662069737323188,424.2031434823675,324,NO,Regular Flooded,Good,Good
12.355484072919577,291.7086413928436,324,Yes,Regular Flooded,Good,Good
12.54549891878704,298.99465898391423,324,Yes,Regular Flooded,Good,Good
12.665387766003068,686.5328582597763,648,Yes,Regular Flooded,Good,Good
12.617412469253312,404.70203107642914,324,NO,Regular Flooded,Good,Good
12.7171565726515,209.3382714037909,648,Yes,Regular Flooded,Replace,Replace
12.648027992126382,412.8905015654135,324,Yes,Regular Flooded,Good,Good
12.488366855563669,282.4030292288343,324,NO,Regular Flooded,Good,Good
12.586494870234484,85.9226175665216,324,Yes,Regular Flooded,Replace,Replace
12.79985657543175,267.8302826619453,648,NO,Regular Flooded,Replace,Replace
12.750381666633624,147.70628509356217,324,Yes,Regular Flooded,Replace,Replace
12.429787878301552,318.74413794630004,324,Yes,Regular Flooded,Good,Good
12.85494642308267,219.3950386689729,432,Yes,Regular Flooded,Warning,Warning
12.737548348031616,469.5167383098905,324,Yes,Regular Flooded,Good,Good
12.748754328356222,764.4363610692817,648,Yes,Regular Flooded,Good,Good
12.663850452611848,444.3537689077099,324,NO,Regular Flooded,Good,Good
12.791372078009497,728.494671842841,648,Yes,Regular Flooded,Good,Good
12.832268472003062,510.2461779108385,324,NO,Regular Flooded,Good,Good
12.829286076228415,194.902785144425,432,Yes,Regular Flooded,Replace,Replace
12.333504054564017,253.37751764992544,324,Yes,Regular Flooded,Warning,Warning
12.682069734087902,407.3268661932328,324,Yes,Regular Flooded,Good,Good
12.959955156618696,227.68989588063795,432,Yes,Regular Flooded,Warning,Warning
12.38301668014578,288.4108463028693,324,NO,Regular Flooded,Good,Good
12.62803443551488,123.3712797294685,324,Yes,Regular Flooded,Replace,Replace
12.53890138264986,388.0146679434481,324,Yes,Regular Flooded,Good,Good
12.615525422265025,167.23395031960558,324,NO,Regular Flooded,Warning,Warning
12.608850836921668,190.74721834508227,648,Yes,Regular Flooded,Replace,Replace
12.61942107200021,744.3071582153275,648,Yes,Regular Flooded,Good,Good
12.936672956471476,517.2827239431617,324,Yes,Regular Flooded,Good,Good
12.585521855300858,420.821184846251,324,Yes,Regular Flooded,Good,Good
12.984752547786892,493.8012122838728,324,Yes,Regular Flooded,Good,Good
12.458437913583296,282.9181171241873,324,Yes,Regular Flooded,Good,Good
12.62597088188058,409.4500813440473,324,Yes,Regular Flooded,Good,Good
12.414848800345828,271.60513975923453,324,Yes,Regular Flooded,Good,Good
12.407110331142366,278.78265266385586,324,Yes,Regular Flooded,Good,Good
12.71467908566359,241.47528090765024,648,Yes,Regular Flooded,Replace,Replace
12.643404705617296,232.48593658208185,648,Yes,Regular Flooded,Replace,Replace
12.89012814675934,483.9895541623319,324,Yes,Regular Flooded,Good,Good
12.699893787037276,674.900635029753,648,NO,Regular Flooded,Good,Good
12.540189310050982,452.3615623712571,324,Yes,Regular Flooded,Good,Good
12.54935567362476,397.22927348160897,324,Yes,Regular Flooded,Good,Good
12.486834773510523,395.7293756785141,324,NO,Regular Flooded,Good,Good
12.477175569118714,289.0203296073201,324,Yes,Regular Flooded,Good,Good
12.77144821972332,419.5066199939608,324,Yes,Regular Flooded,Good,Good
12.482828387405528,291.4126758004523,324,Yes,Regular Flooded,Good,Good
12.735575036732982,211.3759260619465,432,Yes,Regular Flooded,Replace,Replace
12.560545785431373,415.72257990174114,324,Yes,Regular Flooded,Good,Good
12.692795102137056,453.5162187127475,324,Yes,Regular Flooded,Good,Good
12.686311355547168,451.4051531062496,324,Yes,Regular Flooded,Good,Good
12.836049343152816,558.9102314232172,324,Yes,Regular Flooded,Good,Good
12.922051969465963,534.6919249912975,324,Yes,Regular Flooded,Good,Good
12.780036305073889,518.1467235866866,324,NO,Regular Flooded,Good,Good
12.635245735024796,407.3760030465304,324,NO,Regular Flooded,Good,Good
12.405005197901938,321.36328586576184,324,Yes,Regular Flooded,Good,Good
12.805931561941131,282.12655348246363,648,NO,Regular Flooded,Replace,Replace
12.668576529187211,227.20776471078813,648,Yes,Regular Flooded,Replace,Replace
12.735144412011648,231.4745782705555,432,Yes,Regular Flooded,Warning,Warning
12.707396518999818,258.21150178367435,432,Yes,Regular Flooded,Warning,Warning
12.666362558199245,457.3343494284512,324,Yes,Regular Flooded,Good,Good
12.656934268803695,465.2641624574407,324,Yes,Regular Flooded,Good,Good
12.644808551629142,363.9921898075223,324,Yes,Regular Flooded,Good,Good
12.65517500815925,240.6417015291505,648,Yes,Regular Flooded,Replace,Replace
12.823839385355804,513.327399257398,324,Yes,Regular Flooded,Good,Good
12.542298497991707,494.7830931002526,324,Yes,Regular Flooded,Good,Good
12.765543206996997,475.5188309651267,324,Yes,Regular Flooded,Good,Good
12.841989645862398,275.78147248444964,432,Yes,Regular Flooded,Warning,Warning
12.45099825130087,274.3217080957778,648,Yes,Regular Flooded,Replace,Replace
12.676000967143018,432.00969131813576,324,Yes,Regular Flooded,Good,Good
12.694381823985491,162.36488980745045,324,Yes,Regular Flooded,Warning,Warning
12.417268509918411,310.6607735125657,324,NO,Regular Flooded,Good,Good
12.920340276657974,491.026022390988,324,Yes,Regular Flooded,Good,Good
12.858965212052984,540.4242461089639,324,NO,Regular Flooded,Good,Good
12.561906833736112,395.46965365211855,324,Yes,Regular Flooded,Good,Good
12.826077615137464,691.7173938996207,648,Yes,Regular Flooded,Good,Good
12.758234469341495,228.2407484763723,648,NO,Regular Flooded,Replace,Replace
12.721115644413096,146.8445457848903,324,Yes,Regular Flooded,Replace,Replace
12.50219902696196,459.9738734315953,324,Yes,Regular Flooded,Good,Good
12.836681775570646,96.16830276105966,324,Yes,Regular Flooded,Replace,Replace
12.58127126693779,398.58935197990326,324,Yes,Regular Flooded,Good,Good
12.840276984827536,555.6275883131742,324,Yes,Regular Flooded,Good,Good
12.745668109829094,156.49815536246024,324,Yes,Regular Flooded,Replace,Replace
12.487776144473637,282.24848661819,324,Yes,Regular Flooded,Good,Good
12.431845979774222,243.3638771256716,324,NO,Regular Flooded,Warning,Warning
12.22156839195193,239.02175524681357,324,Yes,Regular Flooded,Warning,Warning
12.769053511019564,239.6381051918931,648,Yes,Regular Flooded,Replace,Replace
12.496333321661512,296.55872740833024,324,NO,Regular Flooded,Good,Good
12.782362751594311,710.1403173134032,648,Yes,Regular Flooded,Good,Good
12.44947636564929,233.98401064263567,324,NO,Regular Flooded,Warning,Warning
12.677459873457677,437.1044467789,324,NO,Regular Flooded,Good,Good
12.701657311134568,99.48100992931175,324,Yes,Regular Flooded,Replace,Replace
12.62988511694839,414.2875041781834,324,Yes,Regular Flooded,Good,Good
12.685947709857052,240.6470955832181,432,Yes,Regular Flooded,Warning,Warning
12.853561141417304,516.6141512355272,324,NO,Regular Flooded,Good,Good
12.850164847066974,247.0218859670397,432,Yes,Regular Flooded,Warning,Warning
12.710525428290069,229.31177580579973,648,Yes,Regular Flooded,Replace,Replace
12.543886233281064,420.7382914464896,324,NO,Regular Flooded,Good,Good
12.756302846048143,78.79330095528456,324,NO,Regular Flooded,Replace,Replace
12.684280132244645,238.30310436641875,648,NO,Regular Flooded,Replace,Replace
12.643891601076197,437.1989334340389,324,Yes,Regular Flooded,Good,Good
12.8257898769165,241.9230032993587,648,Yes,Regular Flooded,Replace,Replace
12.82802588867219,488.26176735362446,324,Yes,Regular Flooded,Good,Good
12.681296245891607,432.3900509151335,324,NO,Regular Flooded,Good,Good
12.778719584556733,239.1735815480673,432,Yes,Regular Flooded,Warning,Warning
12.619268503296032,458.8525399912279,324,NO,Regular Flooded,Good,Good
12.736217371970284,413.9062058738468,324,Yes,Regular Flooded,Good,Good
12.79516101657122,416.0047224729959,324,Yes,Regular Flooded,Good,Good
12.805915482615552,533.5484647226036,324,Yes,Regular Flooded,Good,Good
12.79776773271336,116.91131933188188,324,NO,Regular Flooded,Replace,Replace
12.768225014696656,448.7321511569301,324,Yes,Regular Flooded,Good,Good
12.687138322258413,191.02558733121376,324,Yes,Regular Flooded,Warning,Warning
12.893290671130408,538.882388624182,324,Yes,Regular Flooded,Good,Good
12.305308771315124,284.3799017715148,324,NO,Regular Flooded,Good,Good
12.8232512691062,704.7252526005464,648,NO,Regular Flooded,Good,Good
12.73712970062542,136.35534286224993,324,Yes,Regular Flooded,Replace,Replace
12.647450577537285,716.3509504340226,648,Yes,Regular Flooded,Good,Good
12.49309299541294,257.99393664736954,324,Yes,Regular Flooded,Warning,Warning
12.451157900322986,398.129549314491,324,Yes,Regular Flooded,Good,Good
12.398014231743243,432.0942634111923,324,Yes,Regular Flooded,Good,Good
12.80863986759535,158.49561656197534,324,Yes,Regular Flooded,Replace,Replace
12.452832317255965,273.39001568865564,324,Yes,Regular Flooded,Good,Good
12.7844174498746,694.8016832332116,648,Yes,Regular Flooded,Good,Good
12.83082374422478,706.0545271138835,648,NO,Regular Flooded,Good,Good
12.779742998127364,245.2737057857967,432,Yes,Regular Flooded,Warning,Warning
12.898324648527666,502.077930497754,324,Yes,Regular Flooded,Good,Good
12.390948854056663,303.95085488848804,324,Yes,Regular Flooded,Good,Good
12.84145203464836,166.81647688026487,648,Yes,Regular Flooded,Replace,Replace
12.37247465899995,256.1186889959087,324,Yes,Regular Flooded,Warning,Warning
12.65707060258686,380.4507730141064,324,Yes,Regular Flooded,Good,Good
12.446483882405849,306.78795773850425,324,Yes,Regular Flooded,Good,Good
12.807231726472404,417.61261797530153,324,Yes,Regular Flooded,Good,Good
12.71201001837312,769.1049157190361,648,NO,Regular Flooded,Good,Good
12.554295538491456,413.1512254987959,324,Yes,Regular Flooded,Good,Good
12.693445326772109,405.536073364669,324,Yes,Regular Flooded,Good,Good
12.923151374409263,491.7390433298794,324,Yes,Regular Flooded,Good,Good
12.749764962842113,737.4071955643376,648,NO,Regular Flooded,Good,Good
12.715859620613273,231.39531481855548,432,NO,Regular Flooded,Warning,Warning
12.493292010350924,429.7738648425288,324,Yes,Regular Flooded,Good,Good
12.649705386078464,470.5485067501949,324,NO,Regular Flooded,Good,Good
12.671660127766696,737.8584283269623,648,Yes,Regular Flooded,Good,Good
12.355277551761576,321.4841476745441,324,NO,Regular Flooded,Good,Good
12.653666854495135,274.4848791150982,432,Yes,Regular Flooded,Warning,Warning
12.650294515100724,477.834290192796,324,Yes,Regular Flooded,Good,Good
12.832110311067254,491.6231069427728,324,Yes,Regular Flooded,Good,Good
12.479559510912422,275.89917594540367,324,Yes,Regular Flooded,Good,Good
12.367546196694098,293.3224039664618,324,Yes,Regular Flooded,Good,Good
12.693505699343564,700.5350392347501,648,Yes,Regular Flooded,Good,Good
12.605451383912811,404.3800300844422,324,Yes,Regular Flooded,Good,Good
12.7528183621701,211.9272823648257,648,Yes,Regular Flooded,Replace,Replace
12.646488038732292,202.60102971414184,432,Yes,Regular Flooded,Replace,Replace
12.5428786701664,157.9066900423722,324,NO,Regular Flooded,Replace,Replace
12.47547577132495,256.8952994941092,324,Yes,Regular Flooded,Warning,Warning
12.658966374674474,441.3832120100136,324,Yes,Regular Flooded,Good,Good
12.662894717584496,383.5241750072429,324,Yes,Regular Flooded,Good,Good
12.626600824672352,119.61819454514637,324,Yes,Regular Flooded,Replace,Replace
